id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y,timestep
110,HBEFA3/PC_G_EU4,2967.33,147.96,0.74,1.33,0.07,946.49,0,62.62,!110,DEFAULT_VEHTYPE,0,772191686#0_0,6.5,1.4,237.32,3220.03,2324.09,
111,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!111,DEFAULT_VEHTYPE,0,30037865#0_0,5.1,0,227.87,2559.83,2456.29,
12,HBEFA3/PC_G_EU4,5695.67,115.18,0.66,2.44,0.11,1816.66,0,67.07,!12,DEFAULT_VEHTYPE,0,:273031730_3_0,12.63,7.83,140.39,2852,2657.63,
13,HBEFA3/PC_G_EU4,3045.44,0,0.03,0.94,0.03,971.36,0,67.35,!13,DEFAULT_VEHTYPE,0,28664939#15_0,34.65,17.91,231.77,3313.89,2241.12,
15,HBEFA3/PC_G_EU4,9379.97,139.85,0.86,4.03,0.2,2991.74,0,70.87,!15,DEFAULT_VEHTYPE,0,645363763#0_0,26.16,13.74,309.31,3681.53,2952.59,
18,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,62.89,!18,DEFAULT_VEHTYPE,0,771403658_0,5.24,15.53,162.72,3949.18,2417.93,
19,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,72.13,!19,DEFAULT_VEHTYPE,0,25043984#4_0,18.91,28.15,124.82,4402.94,3252.28,
2,HBEFA3/PC_G_EU4,11269.62,173.59,1.07,4.59,0.26,3594.45,0,74.49,!2,DEFAULT_VEHTYPE,0,4987249#97_0,1542.12,27.67,62.87,5763.74,4153.62,
20,HBEFA3/PC_G_EU4,11297.37,156.53,0.99,4.77,0.25,3603.29,0,72.7,!20,DEFAULT_VEHTYPE,0,:7206789917_3_0,8.45,20.57,48.16,2629.76,2610.39,
21,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,56.84,!21,DEFAULT_VEHTYPE,0,:7201339443_2_0,2.95,6.65,35.43,3993.51,3197.76,
23,HBEFA3/PC_G_EU4,2734.24,0,0.01,0.62,0.03,872.11,0,71.25,!23,DEFAULT_VEHTYPE,0,4987249#38_0,13.66,25.45,53.5,3492.67,2739.08,
26,HBEFA3/PC_G_EU4,1795.14,0,0.02,0.5,0,572.58,0,62.88,!26,DEFAULT_VEHTYPE,0,25087607#1_0,109.35,11.97,140.42,2886.46,2461.32,
29,HBEFA3/PC_G_EU4,8707.26,148.54,0.89,3.79,0.18,2777.19,0,70.92,!29,DEFAULT_VEHTYPE,0,-704539034_0,17.11,10.72,122.02,2685.89,2630.34,
3,HBEFA3/PC_G_EU4,14506.84,240.19,1.46,6.12,0.34,4626.96,0,75.72,!3,DEFAULT_VEHTYPE,0,:7201338941_3_0,2.95,27.66,124.7,4299.2,3324.17,
32,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,66.97,!32,DEFAULT_VEHTYPE,0,30037815#1_0,17.77,20.84,251.59,2736.34,2186.84,
34,HBEFA3/PC_G_EU4,3957.74,98.08,0.54,1.66,0.07,1262.36,0,63.63,!34,DEFAULT_VEHTYPE,0,:7201338923_7_0,4.53,6.25,121.88,4104.1,2961.55,
35,HBEFA3/PC_G_EU4,5043.58,28.15,0.25,1.78,0.08,1608.66,0,70.31,!35,DEFAULT_VEHTYPE,0,707378481#12_0,43.27,22.26,209.67,2291.21,2982.07,
36,HBEFA3/PC_G_EU4,8005.31,91.2,0.61,3.14,0.16,2553.3,0,71.95,!36,DEFAULT_VEHTYPE,0,:7208831399_3_1,8.99,23.64,52.74,3209.6,2532.75,
37,HBEFA3/PC_G_EU4,7494.59,147.96,0.85,3.28,0.16,2390.42,0,70.47,!37,DEFAULT_VEHTYPE,0,27529366#0_0,11.01,8.22,131.76,4188.21,2587.01,
38,HBEFA3/PC_G_EU4,4470.21,23.63,0.22,1.44,0.08,1425.8,0,71.64,!38,DEFAULT_VEHTYPE,0,890218773#3_1,9.85,25.47,227.85,2682.02,2697.68,
42,HBEFA3/PC_G_EU4,3787.19,13.91,0.15,1.34,0.05,1207.94,0,66.55,!42,DEFAULT_VEHTYPE,0,-24926456#0_0,62.81,15.76,71.18,4055.78,2622.72,
43,HBEFA3/PC_G_EU4,5046.67,96.53,0.56,2.12,0.09,1609.66,0,65.66,!43,DEFAULT_VEHTYPE,0,:7201339453_2_0,4.13,8.32,278.47,3980.77,3209.1,
44,HBEFA3/PC_G_EU4,9854.41,165.9,0.99,4.31,0.21,3143.07,0,72.2,!44,DEFAULT_VEHTYPE,0,-24926513#11_0,40.84,11.46,41.86,4060.86,2906.69,
45,HBEFA3/PC_G_EU4,9982.62,177.51,1.06,3.9,0.24,3183.98,0,75.52,!45,DEFAULT_VEHTYPE,0,24667122#64_1,0.1,31.89,233.45,3306.6,2627.92,
46,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,54.13,!46,DEFAULT_VEHTYPE,0,24667122#49_1,40.4,7.89,233.3,3540.64,2801.48,
47,HBEFA3/PC_G_EU4,2148.34,0,0,0.41,0.01,685.23,0,69.53,!47,DEFAULT_VEHTYPE,0,4987210#5_0,34.21,22.34,166.17,3884.37,2525.45,
49,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,49.1,!49,DEFAULT_VEHTYPE,0,:32537653_3_0,2.72,5.23,140.71,3371.05,1940.65,
5,HBEFA3/PC_G_EU4,2176.64,15.42,0.12,0.71,0.01,694.27,0,62.24,!5,DEFAULT_VEHTYPE,0,24784499#1_0,90.99,10.57,136.87,3577.98,3041.08,
50,HBEFA3/PC_G_EU4,7466.36,139.87,0.82,3.25,0.15,2381.41,0,69.88,!50,DEFAULT_VEHTYPE,0,:6581328728_2_0,5.48,8.94,37.11,3566.35,2728.29,
51,HBEFA3/PC_G_EU4,5566.03,96.08,0.57,2.34,0.1,1775.31,0,66.43,!51,DEFAULT_VEHTYPE,0,705492044#0_0,19.97,9.4,339.97,2579.75,2161.22,
52,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,58.92,!52,DEFAULT_VEHTYPE,0,701529973#3_0,30.72,11.54,47.56,2656.83,2635.06,
53,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,61.98,!53,DEFAULT_VEHTYPE,0,890218773#7_1,12.56,14.44,229.87,2553.68,2582.39,
54,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,66.35,!54,DEFAULT_VEHTYPE,0,27529366#4_0,0.5,19.35,131.73,4309.25,2478.93,
56,HBEFA3/PC_G_EU4,12264.99,209.08,1.26,5.01,0.3,3911.93,0,75.53,!56,DEFAULT_VEHTYPE,0,819350925#3_0,206.4,30.01,290.5,2735.42,2013.83,
58,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,67.56,!58,DEFAULT_VEHTYPE,0,:7872495052_0_1,2.06,21.79,234.49,3100.58,2474.72,
60,HBEFA3/PC_G_EU4,18715.24,310.69,1.88,8.21,0.44,5969.2,0,77.5,!60,DEFAULT_VEHTYPE,0,24667122#90_0,15.79,23.1,209.06,2939.29,2326.89,
61,HBEFA3/PC_G_EU4,12695.25,198.22,1.22,5.29,0.29,4049.15,0,74.76,!61,DEFAULT_VEHTYPE,0,890218773#2_1,54.05,26.74,227.61,2711.48,2724.48,
62,HBEFA3/PC_G_EU4,3689.82,124.91,0.65,1.6,0.07,1176.91,0,63.85,!62,DEFAULT_VEHTYPE,0,:7201339345_0_0,6.11,3.85,13.64,3788.32,2993.57,
64,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,56.85,!64,DEFAULT_VEHTYPE,0,:6605198947_3_0,7.72,9.77,221.55,2538.17,2567.48,
65,HBEFA3/PC_G_EU4,6175.1,52.6,0.39,2.29,0.12,1969.56,0,71.09,!65,DEFAULT_VEHTYPE,0,4987249#64_0,7.38,23.15,45.22,3827.56,3037.19,
67,HBEFA3/PC_G_EU4,3343.87,59.85,0.35,1.32,0.05,1066.56,0,62.65,!67,DEFAULT_VEHTYPE,0,:7201339376_0_0,4.52,8.47,240.23,4178.93,2611.45,
68,HBEFA3/PC_G_EU4,6136.08,107.73,0.64,2.61,0.12,1957.12,0,67.36,!68,DEFAULT_VEHTYPE,0,4987210#3_0,21.44,9.41,167.09,3865.87,2605.97,
69,HBEFA3/PC_G_EU4,2624.71,164.78,0.81,1.2,0.07,837.22,0,55.94,!69,DEFAULT_VEHTYPE,4,700148837#18_0,27.39,0,63.45,3870.58,2249.03,
70,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,50.56,!70,DEFAULT_VEHTYPE,0,24934063#1_0,84.45,5.65,296.14,4297.05,2199.47,
71,HBEFA3/PC_G_EU4,2302.62,0,0,0.38,0.02,734.45,0,71.86,!71,DEFAULT_VEHTYPE,0,828126964#13_0,34.85,26.88,226.23,2965.57,2956.74,
72,HBEFA3/PC_G_EU4,7893.27,118.8,0.73,3.36,0.16,2517.57,0,69.34,!72,DEFAULT_VEHTYPE,0,24926495_0,31.55,12.33,312.66,3935.94,3000.61,
73,HBEFA3/PC_G_EU4,6237.69,94.83,0.58,2.61,0.12,1989.53,0,67.32,!73,DEFAULT_VEHTYPE,0,649608322#0_0,12.93,11.05,118.89,2947.98,2240.67,
74,HBEFA3/PC_G_EU4,4801.65,104.48,0.59,2.04,0.09,1531.52,0,65.42,!74,DEFAULT_VEHTYPE,0,701376130#13_0,9.21,7.16,137.02,2853.93,3013,
75,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,62.08,!75,DEFAULT_VEHTYPE,0,25087607#0_0,69.45,12.49,114.81,2817.87,2569.33,
76,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,63.51,!76,DEFAULT_VEHTYPE,0,-24926500#5_0,40.5,13.92,221.78,4061.04,3084.86,
77,HBEFA3/PC_G_EU4,12701.77,190.05,1.18,5.5,0.28,4051.22,0,73.57,!77,DEFAULT_VEHTYPE,0,701330347#15_0,71.43,17.78,326.02,3615.31,2639.98,
79,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,63.21,!79,DEFAULT_VEHTYPE,0,24926513#6_0,18.49,13.09,221.86,4181.44,3046.05,
