id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
32,HBEFA3/PC_G_EU4,6477.37,112.3,0.67,2.76,0.13,2065.97,0,67.86,!32,DEFAULT_VEHTYPE,0,700671904#4_0,33.97,9.66,297.53,2722.09,2377.05
33,HBEFA3/PC_G_EU4,5361.2,107.18,0.61,2.28,0.1,1709.98,0,66.36,!33,DEFAULT_VEHTYPE,0,-700840147#4_0,25.02,7.93,126.08,4304.29,3237.71
34,HBEFA3/PC_G_EU4,5464.3,127.19,0.71,2.37,0.11,1742.87,0,67.42,!34,DEFAULT_VEHTYPE,0,24667122#44_1,17.89,6.4,231.64,3640.88,2878.64
35,HBEFA3/PC_G_EU4,4436.29,141.01,0.75,1.96,0.09,1415,0,67.18,!35,DEFAULT_VEHTYPE,0,-694211652_0,10.48,3.8,220.25,2724.13,2954.93
36,HBEFA3/PC_G_EU4,3965.04,150.97,0.78,1.77,0.09,1264.7,0,67.85,!36,DEFAULT_VEHTYPE,0,701372202_0,7.59,2.49,57.6,3264.63,2333.16
37,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!37,DEFAULT_VEHTYPE,0,4987249#46_0,5.1,0,53.38,3610.57,2826.84
5 30,HBEFA3/PC_G_EU4,9343.27,144.61,0.88,4.03,0.2,2980.04,0,70.99,5 30,DEFAULT_VEHTYPE,0,700632938#2_0,47.03,12.9,47.73,3060.34,2876.28
7 30,HBEFA3/PC_G_EU4,10857.54,166.67,1.02,4.71,0.23,3463.01,0,72.36,7 30,DEFAULT_VEHTYPE,0,24667122#72_1,8.56,14.35,233.48,3186.8,2539.11
9 30,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,9 30,DEFAULT_VEHTYPE,7,700148837#18_0,27.39,0,63.45,3870.58,2249.03
0 30,HBEFA3/PC_G_EU4,15099.15,238.35,1.46,6.62,0.34,4815.86,0,75.52,0 30,DEFAULT_VEHTYPE,0,4987249#41_0,2.77,18.18,53.15,3520.5,2759.78
1 30,HBEFA3/PC_G_EU4,9347.77,135.82,0.84,4,0.19,2981.47,0,70.77,1 30,DEFAULT_VEHTYPE,0,890218773#2_1,33.72,14.31,227.61,2726.49,2738.19
12 30,HBEFA3/PC_G_EU4,2138.37,54.41,0.29,0.79,0.02,682.07,0,59.54,12 30,DEFAULT_VEHTYPE,0,828126964#7_0,0.22,6.76,207.68,3225.66,3192.62
13 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,57.48,13 30,DEFAULT_VEHTYPE,0,26752039#11_0,5.77,6.03,221.81,4235.42,2672.31
15 30,HBEFA3/PC_G_EU4,11648.01,172.44,1.07,5.03,0.25,3715.12,0,72.77,15 30,DEFAULT_VEHTYPE,0,24801830#1_0,110.69,16.56,37.98,3348.86,2468.47
18 30,HBEFA3/PC_G_EU4,3471.79,27.18,0.2,1.28,0.04,1107.35,0,64.58,18 30,DEFAULT_VEHTYPE,0,694201304#1_0,1.96,12.41,147.23,3722.27,3147.77
19 30,HBEFA3/PC_G_EU4,9982.07,151.95,0.93,4.31,0.21,3183.78,0,71.53,19 30,DEFAULT_VEHTYPE,0,696072697#6_1,1.63,13.79,58.17,2798.8,2141.76
2 30,HBEFA3/PC_G_EU4,10366.63,144.1,0.91,4.41,0.22,3306.43,0,71.66,2 30,DEFAULT_VEHTYPE,0,4987249#77_0,6.33,17.1,47.94,4004.42,3201.9
20 30,HBEFA3/PC_G_EU4,8894.79,144.43,0.87,3.85,0.19,2837,0,70.78,20 30,DEFAULT_VEHTYPE,0,:6076965790_0_0,6.79,11.68,229.47,3136.9,3405.25
21 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,58.89,21 30,DEFAULT_VEHTYPE,0,41114831#5_0,49.23,10.18,312,4320.79,3176.6
23 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,60.98,23 30,DEFAULT_VEHTYPE,0,-30037868#0_0,20.7,11.72,13.07,2438.17,2408.32
24 30,HBEFA3/PC_G_EU4,9026.77,125.35,0.79,3.83,0.19,2879.09,0,70.43,24 30,DEFAULT_VEHTYPE,0,4987249#19_0,11.91,15.02,51.97,3189.6,2513.21
26 30,HBEFA3/PC_G_EU4,3098.57,9.46,0.11,1.06,0.03,988.31,0,65.09,26 30,DEFAULT_VEHTYPE,0,703364305#2_0,55.92,13.92,127.54,2671.89,2822.47
28 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,55.68,28 30,DEFAULT_VEHTYPE,0,:7204275479_9_0,1.27,3.21,200.75,3477.45,3238.77
29 30,HBEFA3/PC_G_EU4,4381.3,53.34,0.34,1.73,0.07,1397.43,0,65.09,29 30,DEFAULT_VEHTYPE,0,-645341343#0_0,6.33,11.45,220.7,3101.56,3368.68
3 30,HBEFA3/PC_G_EU4,3904.08,24.11,0.2,1.43,0.05,1245.22,0,65.85,3 30,DEFAULT_VEHTYPE,0,694201304#0_0,9.11,14.24,144.53,3682.26,3198.62
30,HBEFA3/PC_G_EU4,2407.34,47.44,0.27,0.89,0.03,767.86,0,60.76,!30,DEFAULT_VEHTYPE,0,:8010992531_0_0,9.15,7.84,107.74,2516.34,2521.58
32,HBEFA3/PC_G_EU4,8046.17,127.54,0.77,3.45,0.16,2566.34,0,69.67,!32,DEFAULT_VEHTYPE,0,700671904#4_0,45.58,11.6,297.53,2711.8,2382.42
33,HBEFA3/PC_G_EU4,9205.92,160.6,0.95,4.03,0.2,2936.24,0,71.79,!33,DEFAULT_VEHTYPE,0,-700840147#4_0,35.53,10.52,126.08,4312.79,3231.52
34,HBEFA3/PC_G_EU4,4999.43,100.9,0.58,2.11,0.09,1594.59,0,65.66,!34,DEFAULT_VEHTYPE,0,24667122#45_1,0.28,7.83,231.64,3634.73,2873.78
35,HBEFA3/PC_G_EU4,6049.04,141.52,0.79,2.65,0.13,1929.37,0,69.14,!35,DEFAULT_VEHTYPE,0,-694211652_0,16.69,6.22,220.25,2720.11,2950.19
36,HBEFA3/PC_G_EU4,4399.24,131.61,0.7,1.92,0.09,1403.18,0,66.12,!36,DEFAULT_VEHTYPE,0,701372202_0,11.99,4.4,57.63,3268.34,2335.52
37,HBEFA3/PC_G_EU4,3607.99,148.63,0.76,1.61,0.08,1150.82,0,66.32,!37,DEFAULT_VEHTYPE,0,4987249#46_0,7.27,2.17,53.38,3612.31,2828.14
38,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!38,DEFAULT_VEHTYPE,0,702840499_0,5.1,0,52.27,3173.96,3377.67
5 30,HBEFA3/PC_G_EU4,5879.71,66.95,0.44,2.37,0.1,1875.34,0,67.33,5 30,DEFAULT_VEHTYPE,0,700632938#2_0,60.91,13.88,47.73,3070.61,2885.62
7 30,HBEFA3/PC_G_EU4,8851.3,117.67,0.75,3.73,0.18,2823.12,0,70.31,7 30,DEFAULT_VEHTYPE,0,24667122#73_1,4.17,15.87,233.44,3174.05,2529.66
9 30,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,9 30,DEFAULT_VEHTYPE,8,700148837#18_0,27.39,0,63.45,3870.58,2249.03
0 30,HBEFA3/PC_G_EU4,17337.08,280.8,1.71,7.61,0.4,5529.64,0,76.81,0 30,DEFAULT_VEHTYPE,0,:6581328727_1_0,1.03,20.77,52.99,3537.05,2772.23
